model,node,p_s,aggre,adam_lr,ave_acc,std_acc
GIN,100,poisson,mean,0.01,0.9904,0.003031501278244822
GIN,100,poisson,sum,0.01,0.97495,0.02377546003761022
GIN,100,poisson,mean,0.0001,0.9892,0.003325657829663183
GIN,100,poisson,sum,0.0001,0.9922000000000001,0.001977371993328522
GIN,100,2_mean_200,mean,0.01,0.9917,0.002227105745132
GIN,100,2_sum_200,sum,0.01,0.97855,0.018615114826398462
GIN,100,2_mean_200,mean,0.0001,0.9892499999999999,0.001926784886799779
GIN,100,2_sum_200,sum,0.0001,0.99055,0.0015724185193516432
GIN,100,4_mean_384,mean,0.01,0.9974999999999999,0.002664582518894848
GIN,100,4_sum_384,sum,0.01,0.9963,0.006209669878504028
GIN,100,4_mean_384,mean,0.0001,0.9919500000000001,0.016330110226204862
GIN,100,4_sum_384,sum,0.0001,0.9984999999999999,0.0008660254037844395
GIN,100,6_mean_564,mean,0.01,0.9276,0.1580746342712834
GIN,100,6_sum_564,sum,0.01,0.9981499999999999,0.0018580904176062093
GIN,100,6_mean_564,mean,0.0001,0.99925,0.0007158910531638241
GIN,100,6_sum_564,sum,0.0001,0.9980499999999999,0.003587826640182039
GIN,100,8_mean_736,mean,0.01,0.99185,0.02328953627704939
GIN,100,8_sum_736,sum,0.01,0.98615,0.03905704161863774
GIN,100,8_mean_736,mean,0.0001,0.9909000000000001,0.02452631240117439
GIN,100,8_sum_736,sum,0.0001,0.9940999999999999,0.017533967035442948
GIN,100,10_mean_900,mean,0.01,0.9999,0.00030000000000000024
GIN,100,10_sum_900,sum,0.01,0.9999,0.0003000000000000003
GIN,100,10_mean_900,mean,0.0001,1.0,0.0
GIN,100,10_sum_900,sum,0.0001,0.99985,0.00032015621187163665
